iter	RMSE
0	14.1125919
1	13.1200783
2	12.36260855
3	11.76085561
4	11.05634834
5	10.52228492
6	9.99161583
7	9.537654972
8	9.086891314
9	8.669252516
10	8.29251558
11	7.958646647
12	7.653707901
13	7.421145614
14	7.226519061
15	7.053717114
16	6.847755969
17	6.697552847
18	6.567028955
19	6.441588068
20	6.305472329
21	6.196462194
22	6.102259564
23	6.035727931
24	5.95326581
25	5.883887481
26	5.824314283
27	5.779870717
28	5.729235776
29	5.691548232
30	5.647327605
31	5.617768548
32	5.571778435
33	5.537600412
34	5.50033682
35	5.463622763
36	5.433448282
37	5.416272685
38	5.389679307
39	5.364642856
40	5.340880864
41	5.323801981
42	5.301045631
43	5.281224598
44	5.277076283
45	5.258181575
46	5.24692319
47	5.227561077
48	5.211961361
49	5.195353161
50	5.186718101
51	5.175950576
52	5.166829032
53	5.158793073
54	5.144903194
55	5.133144599
56	5.126241481
57	5.117373482
58	5.109281318
59	5.09708599
60	5.09263151
61	5.086335399
62	5.073495506
63	5.067153897
64	5.052832003
65	5.044671482
66	5.038338391
67	5.030799506
68	5.022674309
69	5.016831994
70	5.007832776
71	4.995059082
72	4.98683835
73	4.977565853
74	4.963499679
75	4.955883541
76	4.947210942
77	4.939268435
78	4.934832222
79	4.930363132
80	4.918715669
81	4.911878432
82	4.906331397
83	4.897085664
84	4.884838081
85	4.874299312
86	4.871042034
87	4.864816102
88	4.855270461
89	4.852720463
90	4.844819828
91	4.841002702
92	4.83468442
93	4.822443472
94	4.814249512
95	4.813378934
96	4.806691038
97	4.796314563
98	4.793958764
99	4.789476104
